,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
193,Minecraft,PS3,Sony Computer Entertainment America,Mojang,9.5,7.766666666666666,6.05,2014.0
194,Metal Gear Solid 2: Sons of Liberty,PS2,Konami,Konami Computer Entertainment Japan,9.5,7.0,6.05,2001.0
195,The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo,GREZZO,9.3,9.0,6.02,2011.0
196,Cities: Skylines,PC,Paradox Interactive,Colossal Order,8.5,8.9,6.0,2015.0
197,Metal Gear Solid,PS,Konami,Konami Computer Entertainment Japan,9.3,8.433333333333334,6.0,1998.0
198,Sonic the Hedgehog 2,GEN,Sega,Sonic Team,7.433333333333334,7.1000000000000005,6.0,1992.0
199,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami,Kojima Productions,9.3,9.8,6.0,2008.0
200,Euro Truck Simulator 2,PC,SCS Software,SCS Software,8.5,8.7,5.98,2013.0
201,Mario Kart: Super Circuit,GBA,Nintendo,Intelligent Systems,9.3,7.933333333333333,5.91,2001.0
202,Super Mario Sunshine,GC,Nintendo,Nintendo EAD,9.2,8.666666666666666,5.91,2002.0
203,Super Mario 3D World,WiiU,Nintendo,Nintendo EAD Tokyo,9.5,8.9,5.84,2013.0
204,Age of Empires II: HD Edition,PC,Microsoft Studios,Hidden Path Entertainment,6.8,7.9,5.82,2013.0
205,New Super Mario Bros. U,WiiU,Nintendo,Nintendo EAD,8.4,8.0,5.8,2012.0
206,Link's Crossbow Training,Wii,Nintendo,Nintendo EAD,6.9,6.566666666666667,5.79,2007.0
207,Red Dead Redemption 2,XOne,Rockstar Games,Rockstar Games,9.7,7.4,5.77,2018.0
208,Destiny,PS4,Activision,Bungie,7.6,6.1,5.76,2014.0
209,Tekken 2,PS,Namco,Namco,9.1,6.6000000000000005,5.74,1996.0
210,Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,Bluepoint Games,8.6,8.5,5.7,2015.0
211,Super Mario World: Super Mario Advance 2,GBA,Nintendo,Nintendo EAD,9.4,8.666666666666666,5.69,2002.0
212,LEGO Star Wars: The Complete Saga,Wii,LucasArts,Traveller's Tales,8.0,7.333333333333333,5.66,2007.0
213,Cooking Mama,DS,Majesco,Office Create,6.6,7.666666666666667,5.66,2006.0
214,Tetris,NES,Nintendo,Nintendo,8.366666666666667,7.300000000000001,5.58,1989.0
215,Super Mario Advance,GBA,Nintendo,Nintendo EAD,8.2,8.5,5.57,2001.0
216,Assassin's Creed II,PS3,Ubisoft,Ubisoft Montreal,9.0,7.566666666666666,5.57,2009.0
217,Super Smash Bros.,N64,Nintendo,HAL Laboratory,8.4,6.666666666666667,5.55,1999.0
218,Assassin's Creed,X360,Ubisoft,Ubisoft Montreal,8.2,8.0,5.55,2007.0
219,Batman: Arkham City,PS3,Warner Bros. Interactive,Rocksteady Studios,9.6,6.5,5.54,2011.0
220,Forza Motorsport 3,X360,Microsoft Game Studios,Turn 10 Studios,9.2,9.8,5.5,2009.0
221,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Level 5,8.6,6.566666666666666,5.5,2010.0
222,Final Fantasy IX,PS,Square,SquareSoft,9.2,9.0,5.5,2000.0
223,Final Fantasy X-2,PS2,Square Enix,Square Enix,8.3,9.5,5.5,2003.0
224,Sid Meier's Civilization VI,PC,2K Games,Firaxis Games,8.8,7.0,5.5,2016.0
225,Tomb Raider (2013),PC,Square Enix,Crystal Dynamics,8.8,7.7,5.5,2013.0
226,Super Mario Maker 2,NS,Nintendo,Nintendo,8.8,8.5,5.48,2019.0
227,Pokemon Stadium,N64,Nintendo,HAL Laboratory,7.5,8.1,5.46,2000.0
228,Minecraft,XOne,Microsoft Studios,Mojang,9.166666666666666,7.366666666666667,5.43,2014.0
229,Call of Duty: World at War,PS3,Activision,Treyarch,8.4,7.033333333333334,5.43,2008.0
230,Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo,Nintendo EAD,9.2,8.5,5.43,2003.0
231,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Traveller's Tales,6.9,6.733333333333334,5.42,2001.0
232,Super Smash Bros. for Wii U,WiiU,Nintendo,Bandai Namco Games,9.2,8.9,5.37,2014.0
233,Final Fantasy XIII,PS3,Square Enix,Square Enix,8.0,9.2,5.35,2010.0
234,Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,8.133333333333333,5.35,2008.0
235,Dr. Mario,GB,Nintendo,Nintendo R&D1,6.3,8.700000000000001,5.34,1990.0
236,Assassin's Creed III,X360,Ubisoft,Ubisoft Montreal,8.5,7.566666666666666,5.31,2012.0
237,Pokemon Pinball,GBC,Nintendo,Jupiter Corporation,8.7,7.066666666666666,5.31,1999.0
